cliente_id,churn,genero,customer.SeniorCitizen,customer.Partner,customer.Dependents,meses_tenencia,telefono_servicio,telefono_lineas_multiples,internet_servicio,internet_seguridad,internet_respaldo,internet_proteccion,internet_soporte,internet_tv,internet_peliculas,contrato,facturacion_electronica,metodo_pago,cargo_mensual,cargo_total,internet_activo,telefono_activo,cuentas_diarias,servicios_contratados,gasto_estimado
0020-jdnxp,0,female,0,yes,yes,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,61.25,1993.2,1,0,2.0416666666666665,6,2082.5
0021-ikxgc,0,female,1,no,no,1,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,72.1,72.1,1,1,2.4033333333333333,3,72.1
0022-tcjci,1,male,1,no,no,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),62.7,2791.5,1,1,2.0900000000000003,5,2821.5
0023-hghwl,1,male,1,no,no,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,25.1,25.1,1,0,0.8366666666666667,1,25.1
0023-uyupn,0,female,1,yes,no,50,1,1,no,0,0,0,0,0,0,one year,0,electronic check,25.2,1306.3,0,1,0.84,2,1260.0
0023-xuopt,1,female,0,yes,no,13,1,1,fiber optic,0,1,1,0,1,0,month-to-month,0,electronic check,94.1,1215.6,1,1,3.1366666666666663,6,1223.3
0027-kwykw,0,female,0,yes,yes,23,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,83.75,1849.95,1,1,2.7916666666666665,4,1926.25
0030-fnxpp,0,female,0,no,no,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,19.85,57.2,0,1,0.6616666666666667,1,59.550000000000004
0031-pvlzi,1,female,0,yes,yes,4,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.35,76.35,0,1,0.6783333333333333,1,81.4
0032-pgels,1,female,0,yes,yes,1,0,0,dsl,1,0,0,0,0,0,month-to-month,0,bank transfer (automatic),30.5,30.5,1,0,1.0166666666666666,2,30.5
0036-ihmot,0,female,0,yes,yes,55,1,0,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),103.7,5656.75,1,1,3.4566666666666666,7,5703.5
0040-halcw,0,male,0,yes,yes,54,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),20.4,1090.6,0,1,0.6799999999999999,1,1101.6
0042-jvwoj,0,male,0,no,no,26,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),19.6,471.85,0,1,0.6533333333333334,1,509.6
0042-rlhyp,0,female,0,yes,yes,69,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),19.7,1396.9,0,1,0.6566666666666666,1,1359.3
0047-zhdtw,0,female,0,no,no,11,1,1,fiber optic,1,0,0,0,0,0,month-to-month,1,bank transfer (automatic),79.0,929.3,1,1,2.6333333333333333,4,869.0
0048-lumls,0,male,0,yes,yes,37,1,0,fiber optic,0,0,0,0,1,1,one year,0,credit card (automatic),91.2,3247.55,1,1,3.04,4,3374.4
0048-pihnl,0,female,0,yes,no,49,1,0,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),20.45,900.9,0,1,0.6816666666666666,1,1002.05
0052-dckon,0,male,0,yes,no,66,1,1,fiber optic,1,1,1,1,1,1,one year,0,bank transfer (automatic),115.8,7942.15,1,1,3.86,9,7642.8
0052-ynyot,0,female,0,no,no,67,1,0,no,0,0,0,0,0,0,one year,0,electronic check,20.55,1343.4,0,1,0.685,1,1376.8500000000001
0056-epfbg,0,male,0,yes,yes,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card (automatic),39.4,825.4,1,0,1.3133333333333332,4,788.0
0057-qbuqh,0,female,0,no,yes,43,1,1,no,0,0,0,0,0,0,two year,1,electronic check,25.1,1070.15,0,1,0.8366666666666667,2,1079.3
0058-evzwm,0,female,0,yes,no,55,1,1,fiber optic,1,0,0,0,1,0,month-to-month,1,bank transfer (automatic),89.8,4959.6,1,1,2.993333333333333,5,4939.0
0060-fualy,0,female,0,yes,no,59,1,1,fiber optic,1,1,0,0,1,0,month-to-month,1,electronic check,94.75,5597.65,1,1,3.158333333333333,6,5590.25
0064-sudog,0,female,0,yes,yes,12,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),20.3,224.5,0,1,0.6766666666666666,1,243.60000000000002
0064-yijgf,0,male,0,yes,yes,27,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),75.75,1929.0,1,1,2.525,3,2045.25
0067-dkwbl,1,male,1,no,no,2,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,49.25,91.1,1,1,1.6416666666666666,3,98.5
0068-figtf,0,female,0,no,no,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,78.2,2078.95,1,1,2.606666666666667,7,2111.4
0071-ndafp,0,male,0,yes,yes,25,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),25.5,630.6,0,1,0.85,2,637.5
0074-hdkdg,0,male,0,yes,yes,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer (automatic),61.6,1611.0,1,1,2.0533333333333332,5,1540.0
0076-lveps,0,male,0,no,yes,29,0,0,dsl,1,1,1,1,0,0,month-to-month,1,mailed check,45.0,1242.45,1,0,1.5,5,1305.0
0078-xzmht,0,male,0,yes,no,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),85.15,6316.2,1,1,2.8383333333333334,8,6130.8
0080-emyvy,0,female,0,no,no,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),51.45,727.85,1,1,1.715,3,720.3000000000001
0080-orozo,0,female,0,no,no,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0,1,1,3.308333333333333,6,3473.75
0082-ldzue,0,male,0,no,no,1,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed check,44.3,44.3,1,1,1.4766666666666666,2,44.3
0082-oqiqy,0,male,0,no,no,29,1,0,fiber optic,0,0,0,1,1,1,month-to-month,1,electronic check,94.2,2607.6,1,1,3.14,5,2731.8
0083-pivik,0,male,0,no,no,64,1,1,dsl,1,1,1,1,1,0,one year,0,electronic check,81.25,5567.55,1,1,2.7083333333333335,8,5200.0
0089-iiqko,0,female,0,yes,yes,39,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,credit card (automatic),99.95,3767.4,1,1,3.3316666666666666,6,3898.05
0093-exyql,0,female,1,no,no,40,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,91.55,3673.6,1,1,3.0516666666666667,4,3662.0
0093-xwzfy,1,male,0,no,no,40,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,credit card (automatic),104.5,4036.85,1,1,3.4833333333333334,7,4180.0
0094-oifmo,1,female,1,no,no,11,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,electronic check,95.0,1120.3,1,1,3.1666666666666665,5,1045.0
0096-bxers,0,female,0,yes,no,6,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,50.35,314.55,1,1,1.6783333333333335,3,302.1
0096-fcpuf,0,male,0,no,no,30,1,1,dsl,1,0,0,0,0,1,month-to-month,1,mailed check,64.5,1888.45,1,1,2.15,5,1935.0
0098-bowso,0,male,0,no,no,27,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,19.4,529.8,0,1,0.6466666666666666,1,523.8
0100-duvfc,0,male,1,yes,no,70,1,1,fiber optic,0,1,1,0,1,1,one year,1,electronic check,104.8,7308.95,1,1,3.493333333333333,7,7336.0
0103-csitq,0,female,0,yes,no,57,1,1,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),109.4,6252.7,1,1,3.646666666666667,8,6235.8
0104-ppxdv,0,male,0,yes,no,58,1,0,dsl,0,0,1,0,0,0,one year,0,credit card (automatic),50.3,2878.55,1,1,1.6766666666666665,3,2917.3999999999996
0106-ghrqr,0,male,0,no,no,16,1,1,dsl,0,1,1,0,0,1,month-to-month,1,bank transfer (automatic),71.4,1212.1,1,1,2.3800000000000003,6,1142.4
0106-ugrdo,0,female,0,yes,no,69,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,116.0,8182.85,1,1,3.8666666666666667,9,8004.0
0107-weslm,1,male,0,no,no,1,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,19.85,19.85,0,1,0.6616666666666667,1,19.85
0107-yhina,1,male,0,no,yes,1,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,99.75,99.75,1,1,3.325,6,99.75
0111-klbqg,0,male,1,yes,yes,32,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,mailed check,93.95,2861.45,1,1,3.131666666666667,5,3006.4
0112-qawrz,0,male,0,yes,yes,16,1,1,fiber optic,0,0,1,0,1,0,month-to-month,1,bank transfer (automatic),90.8,1442.2,1,1,3.0266666666666664,5,1452.8
0112-qwpnc,1,male,0,yes,no,49,1,1,dsl,1,0,1,1,1,1,one year,0,electronic check,84.35,4059.35,1,1,2.8116666666666665,8,4133.15
0114-igabw,0,female,0,yes,no,71,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),58.25,4145.9,1,0,1.9416666666666667,6,4135.75
0114-pegzz,0,female,0,no,no,33,1,1,fiber optic,0,1,1,0,1,1,month-to-month,0,electronic check,107.55,3645.5,1,1,3.585,7,3549.15
0114-rsrrw,0,female,0,yes,no,10,1,0,no,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),19.95,187.75,0,1,0.6649999999999999,1,199.5
0115-tfert,1,male,0,yes,no,21,1,1,fiber optic,0,1,1,1,1,1,month-to-month,1,electronic check,111.2,2317.1,1,1,3.7066666666666666,8,2335.2000000000003
0117-lfrmw,1,male,0,yes,yes,37,0,0,dsl,1,1,1,0,0,0,month-to-month,0,bank transfer (automatic),40.2,1448.8,1,0,1.34,4,1487.4
0118-jpnoy,0,female,1,no,no,26,1,0,fiber optic,1,0,0,0,1,0,month-to-month,1,credit card (automatic),85.8,2193.65,1,1,2.86,4,2230.7999999999997
0120-yzlqa,0,male,0,no,no,71,1,0,no,0,0,0,0,0,0,two year,1,credit card (automatic),19.9,1355.1,0,1,0.6633333333333333,1,1412.8999999999999
0121-snyrk,0,male,0,no,no,50,0,0,dsl,1,0,0,1,0,0,one year,1,mailed check,35.4,1748.9,1,0,1.18,3,1770.0
0122-oahpz,1,female,0,no,no,7,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,73.85,511.25,1,1,2.4616666666666664,3,516.9499999999999
0123-crbrt,0,female,0,yes,yes,61,1,1,dsl,1,1,1,1,1,1,two year,0,mailed check,88.1,5526.75,1,1,2.9366666666666665,9,5374.099999999999
0125-lzqxk,1,male,0,no,no,15,1,0,fiber optic,0,0,1,1,1,1,month-to-month,1,electronic check,101.35,1553.95,1,1,3.378333333333333,6,1520.25
0128-mkwsg,0,female,0,no,yes,26,0,0,dsl,1,0,0,1,0,1,month-to-month,0,mailed check,45.8,1147.0,1,0,1.5266666666666666,4,1190.8
0129-kptwj,0,male,0,yes,no,72,1,0,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,94.65,6747.35,1,1,3.1550000000000002,5,6814.8
0129-qmpdr,0,male,0,yes,yes,44,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),20.5,865.05,0,1,0.6833333333333333,1,902.0
0130-sxoun,0,male,0,no,no,66,1,1,fiber optic,0,1,0,0,0,1,month-to-month,0,credit card (automatic),89.4,5976.9,1,1,2.98,5,5900.400000000001
0133-bmfzo,1,female,0,no,no,2,1,0,fiber optic,1,1,0,1,0,0,month-to-month,1,electronic check,86.25,181.65,1,1,2.875,5,172.5
0134-xwxce,0,female,1,no,no,44,1,0,dsl,0,0,1,1,1,1,one year,0,bank transfer (automatic),74.85,3268.05,1,1,2.4949999999999997,6,3293.3999999999996
0135-nmxap,1,female,0,no,no,12,1,1,fiber optic,0,1,0,0,1,0,month-to-month,1,bank transfer (automatic),89.75,1052.4,1,1,2.9916666666666667,5,1077.0
0136-ifmyd,0,male,1,yes,no,69,1,1,fiber optic,0,1,1,1,1,1,two year,1,electronic check,109.95,7634.25,1,1,3.665,8,7586.55
0137-ocgab,1,female,0,no,no,1,1,1,fiber optic,0,1,0,0,0,0,month-to-month,1,mailed check,80.2,80.2,1,1,2.6733333333333333,4,80.2
0137-udeuo,1,female,0,no,no,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,19.85,63.75,0,1,0.6616666666666667,1,59.550000000000004
0139-ivfjg,0,female,0,yes,no,2,1,0,fiber optic,1,1,0,0,1,0,month-to-month,0,electronic check,90.35,190.5,1,1,3.0116666666666663,5,180.7
0141-yeays,0,female,1,no,no,27,1,1,fiber optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),86.45,2401.05,1,1,2.881666666666667,5,2334.15
0142-gvysn,0,male,0,no,no,26,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,20.3,511.25,0,1,0.6766666666666666,1,527.8000000000001
0147-eswwr,0,female,1,yes,no,39,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,electronic check,101.25,3949.15,1,1,3.375,6,3948.75
0148-dcdos,1,male,0,no,no,25,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,bank transfer (automatic),94.7,2362.1,1,1,3.1566666666666667,5,2367.5
0151-ontov,1,female,0,no,no,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,0,mailed check,70.9,70.9,1,1,2.3633333333333337,2,70.9
0154-qyhju,0,male,0,no,no,29,1,0,dsl,1,1,0,1,0,0,one year,1,electronic check,58.75,1696.2,1,1,1.9583333333333333,5,1703.75
0156-fvpta,1,male,0,yes,no,22,1,0,dsl,1,0,0,1,0,0,month-to-month,1,electronic check,54.2,1152.7,1,1,1.8066666666666669,4,1192.4
0162-rzgmz,0,female,1,no,no,5,1,0,dsl,1,1,0,1,0,0,month-to-month,0,credit card (automatic),59.9,287.85,1,1,1.9966666666666666,5,299.5
0164-apgrb,0,female,0,no,no,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,114.9,8496.7,1,1,3.83,9,8272.800000000001
0164-xairp,0,female,0,no,no,24,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),19.55,470.2,0,1,0.6516666666666667,1,469.20000000000005
0168-xzkbb,0,female,0,yes,no,19,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,86.85,1564.4,1,1,2.895,4,1650.1499999999999
0174-qrvvy,0,male,0,yes,yes,71,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),25.35,1847.55,0,1,0.8450000000000001,2,1799.8500000000001
0177-pxbat,0,male,1,yes,no,33,1,1,fiber optic,1,0,1,1,1,1,month-to-month,1,bank transfer (automatic),109.9,3694.7,1,1,3.6633333333333336,8,3626.7000000000003
0178-ciikr,0,female,0,no,no,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,19.95,58.0,0,1,0.6649999999999999,1,59.849999999999994
0178-szbho,0,male,0,yes,yes,47,1,1,fiber optic,0,1,0,0,1,0,month-to-month,0,electronic check,87.2,4017.45,1,1,2.9066666666666667,5,4098.400000000001
0181-ritdd,0,male,0,yes,yes,62,1,0,fiber optic,1,1,1,1,1,1,two year,0,mailed check,108.15,6825.65,1,1,3.605,8,6705.3
0186-caerr,0,male,0,no,no,71,1,1,fiber optic,1,1,1,1,1,1,one year,1,bank transfer (automatic),116.3,8309.55,1,1,3.8766666666666665,9,8257.3
0187-qsxoe,0,male,1,yes,no,7,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,89.0,605.45,1,1,2.966666666666667,4,623.0
0187-wznab,0,female,0,yes,yes,27,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,mailed check,74.4,1972.35,1,1,2.48,3,2008.8000000000002
0188-gwfle,0,male,0,no,no,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.05,33.7,0,1,0.6683333333333333,1,40.1
0191-equuh,0,female,0,no,yes,25,0,0,dsl,1,0,0,1,0,0,two year,0,bank transfer (automatic),35.05,844.45,1,0,1.1683333333333332,3,876.2499999999999
0191-zhskz,0,male,1,no,no,30,1,0,dsl,1,1,0,0,1,1,month-to-month,1,electronic check,74.75,2111.3,1,1,2.4916666666666667,6,2242.5
0193-eszxp,1,female,1,yes,no,58,1,0,fiber optic,1,1,0,1,1,1,one year,1,credit card (automatic),105.5,6205.5,1,1,3.5166666666666666,7,6119.0
0195-iescp,1,male,0,yes,no,10,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,85.25,855.3,1,1,2.841666666666667,4,852.5
0196-jtuqi,0,female,0,no,no,9,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card (automatic),75.2,633.85,1,1,2.506666666666667,3,676.8000000000001
0196-vulgz,1,female,1,yes,no,6,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,84.35,474.9,1,1,2.8116666666666665,4,506.09999999999997
0197-pnknk,0,female,0,yes,yes,69,1,1,fiber optic,1,0,1,0,0,0,one year,0,bank transfer (automatic),84.45,5848.6,1,1,2.815,5,5827.05
0201-mibol,0,female,1,no,no,66,1,1,fiber optic,1,0,0,0,1,1,two year,1,bank transfer (automatic),102.4,6471.85,1,1,3.4133333333333336,6,6758.400000000001
0201-oamxr,1,female,0,no,no,70,1,1,fiber optic,1,1,1,1,1,1,one year,0,credit card (automatic),115.55,8127.6,1,1,3.8516666666666666,9,8088.5
0203-hhyij,1,male,0,no,no,25,1,1,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),25.3,676.35,0,1,0.8433333333333334,2,632.5
0206-oyvoc,0,female,0,yes,yes,46,1,0,no,0,0,0,0,0,0,two year,1,mailed check,19.25,864.2,0,1,0.6416666666666667,1,885.5
0206-tbwlc,0,female,0,yes,no,54,1,1,fiber optic,1,1,1,1,1,1,one year,1,mailed check,114.65,6049.5,1,1,3.8216666666666668,9,6191.1
0207-mdknv,1,female,0,no,no,15,1,0,fiber optic,1,0,1,1,1,1,month-to-month,0,electronic check,105.1,1582.75,1,1,3.503333333333333,7,1576.5
0208-bpqej,0,female,0,yes,yes,12,1,0,no,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),19.4,198.1,0,1,0.6466666666666666,1,232.79999999999998
0212-isbbf,0,female,0,no,no,22,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,50.35,1098.85,1,0,1.6783333333333335,4,1107.7
0214-jhpfw,0,female,0,yes,no,70,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),57.8,4039.3,1,0,1.9266666666666665,6,4046.0
0215-bqkgs,0,male,0,no,no,30,1,0,fiber optic,1,1,1,0,0,0,month-to-month,1,credit card (automatic),84.3,2438.6,1,1,2.81,5,2529.0
0218-qnvas,0,male,0,yes,yes,71,1,1,fiber optic,0,1,0,0,1,1,one year,0,bank transfer (automatic),100.55,7113.75,1,1,3.3516666666666666,6,7139.05
0219-qaerp,0,male,0,yes,no,30,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),19.8,576.65,0,1,0.66,1,594.0
0219-ytzue,1,male,0,yes,yes,4,1,1,fiber optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),84.8,371.9,1,1,2.8266666666666667,5,339.2
0220-ebgce,1,male,0,no,no,2,1,0,fiber optic,0,0,1,0,0,1,month-to-month,1,electronic check,85.85,167.3,1,1,2.8616666666666664,4,171.7
0221-nauxk,0,male,0,no,yes,10,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),19.95,219.5,0,1,0.6649999999999999,1,199.5
0221-wmxnq,0,male,1,no,no,4,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,electronic check,75.35,273.4,1,1,2.5116666666666663,3,301.4
0222-cnvpt,0,male,1,no,no,52,0,0,dsl,1,0,0,0,1,1,month-to-month,1,credit card (automatic),48.8,2555.05,1,0,1.6266666666666665,4,2537.6
0224-hjapt,1,male,0,no,no,5,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,47.15,223.15,1,1,1.5716666666666665,3,235.75
0224-nijlp,0,male,0,yes,yes,8,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.15,165.5,0,1,0.6716666666666666,1,161.2
0224-rlwwd,0,female,1,no,no,2,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,44.3,89.3,1,1,1.4766666666666666,2,88.6
0225-zorzp,0,male,0,no,no,3,1,0,fiber optic,0,1,0,0,0,1,month-to-month,0,electronic check,84.3,235.05,1,1,2.81,4,252.89999999999998
0228-mauwc,0,male,0,no,no,19,1,1,dsl,0,0,1,1,0,0,month-to-month,0,electronic check,59.55,1144.6,1,1,1.9849999999999999,5,1131.45
0229-lfjaf,0,male,0,no,no,72,1,1,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),69.65,4908.25,1,1,2.3216666666666668,7,5014.8
0230-ubypq,0,male,1,yes,no,63,0,0,dsl,1,0,0,1,0,0,one year,0,bank transfer (automatic),36.1,2298.9,1,0,1.2033333333333334,3,2274.3
0230-wequw,0,male,0,yes,no,66,0,0,dsl,1,1,1,1,1,0,two year,1,bank transfer (automatic),56.6,3789.2,1,0,1.8866666666666667,6,3735.6
0231-lxvap,1,male,0,no,no,1,1,0,fiber optic,0,0,0,1,0,0,month-to-month,1,electronic check,75.9,75.9,1,1,2.5300000000000002,3,75.9
0233-fthav,0,female,0,no,no,60,1,1,fiber optic,0,0,1,0,0,0,one year,1,bank transfer (automatic),79.2,4765.0,1,1,2.64,4,4752.0
0234-tevtt,0,female,0,yes,yes,48,0,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),45.0,2196.3,1,0,1.5,4,2160.0
0235-kgslc,1,female,0,no,no,1,1,0,fiber optic,0,0,1,0,1,0,month-to-month,1,credit card (automatic),85.55,85.55,1,1,2.8516666666666666,4,85.55
0236-hfwsv,1,male,0,no,no,15,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,93.35,1444.65,1,1,3.1116666666666664,5,1400.25
0237-yfutl,0,female,0,yes,no,50,1,1,fiber optic,1,1,0,1,1,1,month-to-month,1,bank transfer (automatic),109.65,5405.8,1,1,3.6550000000000002,8,5482.5
0238-whbiq,0,male,0,yes,yes,72,1,1,dsl,1,1,1,1,1,1,two year,0,credit card (automatic),89.7,6339.3,1,1,2.99,9,6458.400000000001
0239-oxexl,0,female,0,no,no,46,1,1,fiber optic,1,1,0,0,0,0,month-to-month,0,mailed check,84.25,3847.6,1,1,2.808333333333333,5,3875.5
0244-lgnfy,0,female,0,yes,yes,72,1,1,dsl,1,1,1,1,1,1,two year,0,bank transfer (automatic),92.65,6733.0,1,1,3.0883333333333334,9,6670.8
0247-sluji,0,male,0,yes,yes,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,19.7,19.7,0,1,0.6566666666666666,1,19.7
0248-ipdfw,0,female,0,no,no,1,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,50.1,50.1,1,1,1.6700000000000002,3,50.1
0248-pghbz,0,female,1,no,no,67,1,0,fiber optic,1,1,0,1,1,0,two year,1,bank transfer (automatic),92.45,6140.85,1,1,3.0816666666666666,6,6194.150000000001
0253-zteob,0,female,0,yes,yes,48,1,1,dsl,0,1,0,1,1,1,two year,0,electronic check,79.65,3870.3,1,1,2.6550000000000002,7,3823.2000000000003
0254-fnmci,0,female,0,no,no,72,1,0,fiber optic,1,1,1,1,1,1,two year,1,electronic check,109.9,7624.2,1,1,3.6633333333333336,8,7912.8
0254-kcjgt,0,male,0,yes,no,52,1,1,dsl,1,1,1,1,0,1,one year,1,credit card (automatic),81.4,4354.45,1,1,2.7133333333333334,8,4232.8
0254-wwrkd,0,female,0,yes,yes,67,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),50.55,3431.75,1,1,1.6849999999999998,3,3386.85
0256-lthvj,1,female,0,yes,yes,28,1,0,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,81.05,2227.1,1,1,2.7016666666666667,3,2269.4
0257-kxzgu,0,female,0,yes,yes,32,1,1,dsl,0,1,1,0,0,0,month-to-month,0,bank transfer (automatic),62.45,2045.55,1,1,2.0816666666666666,5,1998.4
0257-zesqc,1,female,1,yes,no,27,1,0,fiber optic,1,0,0,0,0,0,month-to-month,1,bank transfer (automatic),75.2,1929.35,1,1,2.506666666666667,3,2030.4
0258-nokbl,0,male,0,no,no,3,1,0,fiber optic,0,1,1,0,0,1,month-to-month,0,electronic check,90.4,268.45,1,1,3.0133333333333336,5,271.20000000000005
